P19438 Q62315
Q9DB91 Q91ZP6
Q8BSQ9 Q7Z434
P61019 O88522
P84244 O75716
Q8BX09 Q91YI1
Q5NCS9 Q80YV3
P29122 P70191
P17275 P42566
P39429 Q8BMT4
Q91YR1 P25206
Q9JK11 Q6P4S8
Q62318 Q03173
P11442 O88939
Q91X58 P81122
Q08945 Q8NBS9
P29452 P48987
O43521 Q8VC85
O54826 Q8BLU0
Q9Z0P5 E2JF22
Q8R5B6 O35451
Q16695 Q9WUN2
P05532 Q61527
O70511 Q61585
Q8K4Z3 P63086
Q61585 P19091
Q62725 Q1XH17
O70343 P01111
Q9Y6N7 Q62311
Q9JIH2 Q61180
P09803 O88477
Q61091 Q9EPB4
Q60898 Q15554
P19091 Q61576
P61007 Q9Y618
P40818 Q9JJY3
Q92558 A2BH40
Q9DCJ1 P31273
Q9UPY6 O88291
P70166 P61965
Q9Z277 Q80Y61
Q92556 Q8BSQ9
Q5NCS9 Q91XC0
Q60996 Q80VC9
O15047 P11881
Q80US8 P10721
Q9JM54 Q8R5C8
O88895 O75581
P51480 Q3U7R1
Q99MI6 Q9Z0H7
P48432 P26231
P06400 O70441
Q9Y2T1 Q60793
Q8R5A3 P61965
Q08369 Q9NVI7
P61092 P52194
Q80UF7 Q8VE65
Q9Z2G6 Q60809
Q3TCV3 P42859
P41164 Q9WV31
Q99J83 Q8VE65
P59759 Q62073
P15337 Q14677
Q80U70 O08599
Q8BJS4 P37285
P10085 P70460
Q14152 A2BH40
Q9R0Q1 P20226
Q62193 Q0GNC1
O54918 P20340
O35696 Q8QZZ8
Q99KV1 O35658
P70347 Q15554
Q62318 P26043
Q9DAN1 P54727
Q9CQ39 Q62048
O54918 O35451
Q64131 Q8VCF0
P39447 Q9ER74
Q03142 Q8R4I1
Q0GNC1 P22227
Q6Q899 Q8BMT4
Q8CFH6 P83940
P51943 O88572
P35221 P20340
Q62747 P13346
Q9CU62 P70460
Q13094 Q99496
Q92830 P61019
Q61103 P49817
O08807 P29037
P63001 P26309
Q9Y6N7 Q6ZQ88
Q80VW5 Q9NR31
Q62296 Q9WV31
Q07813 Q64287
Q8VHR5 Q8CFH6
Q9GT24 Q91WC1
P17275 Q9WU78
P11531 P14859
Q8VD65 Q60973
P17275 Q8R418
Q8VHC5 Q3ZCQ8
P97573 Q02395
O08734 Q15019
P31324 Q62318
P97411 P15927
Q9CXC9 P26038
Q03160 Q9EQQ0
Q9CWX2 Q8BGC0
O14735 P52633
P12003 Q62849
P37285 Q62141
P61019 Q04695
Q13547 O08838
Q6NVF9 Q16611
P04925 Q7L576
P11420 Q8BHH2
P09619 Q00566
P10721 Q62280
Q9DCT2 P41183
Q60793 Q61411
Q9CU65 P78352
P51608 Q9DCM2
O60331 Q8BLU0
P06400 Q03173
P63038 Q9Y5X1
Q8C456 Q9BYE7
Q60793 Q91YR1
Q9Y618 Q9WUN2
E9Q3T6 O43353
Q99PP7 P63328
P17427 Q9JM05
Q60722 P35279
P21107 Q7TPD1
P31946 P09632
Q8VHR5 P51881
Q99MI6 P23772
Q8VBX6 Q9BYE7
Q9CU65 Q8C2K5
Q9EQD0 Q09163
P37242 P63211
O35615 Q3UZZ4
Q80YV3 P97369
Q91X58 O15516
A2A259 Q61483
Q5BJU5 Q5SWZ9
Q62725 Q13085
O75530 P14735
P56716 Q62233
Q5SPW0 Q61851
Q925I1 Q13485
Q61091 Q8VHR5
P15337 Q921Q7
Q9WU84 Q8VHR5
O70511 Q8BX09
P50153 Q60848
Q61166 Q6ZQ88
Q2VPD4 Q9Y2T1
Q16695 Q8CFH6
Q9D8T2 Q61286
O97143 Q9ER74
Q86SQ0 P63141
P49718 Q61576
Q9R0Q1 Q99NC0
Q62141 Q13009
P59759 O14735
Q921E6 Q7L576
Q5EG47 Q9Z2G6
Q9JJY3 P63166
P35269 Q08484
P23242 Q9Y6Q9
Q99962 P52431
Q27934 Q9QUN7
Q9CR95 O88939
P35436 O14735
P31324 P83940
Q8CAQ8 P46531
P63073 Q61033
Q9UKV8 O88572
Q3UQN2 Q9WTK8
P20340 P31324
P28776 Q3UIK4
P25976 Q92783
Q8BMT4 P62484
Q60644 Q9Z2B5
O54941 P61586
P32835 O88448
Q9Z1T1 P97302
P49817 P11440
O88700 Q910N6
P40336 P06899
Q99ML1 Q9CU65
Q9P1Y5 Q6P9Z1
Q9Z2G6 Q8CGN4
O88907 P97369
P15037 P29466
Q15596 Q6PAL8
Q5NCP0 Q8K4Z3
O09106 Q13563
Q9Z2B5 P48736
Q9JHD1 Q5SPW0
O14745 P09450
P56716 P54841
Q13263 Q04695
Q924A2 Q4KM98
Q8K4Z3 P62826
Q3UZZ4 Q9D9Q6
P49790 Q7KZI7
Q9Z101 Q61164
Q3TBT3 Q924A2
Q61827 Q9EPC1
O75460 Q6PR54
Q8CDJ3 Q9BYE7
Q80TQ2 O08734
Q05769 Q8VEK3
Q99MK8 P23772
Q8K341 O88700
P83917 Q9NR31
P35278 P63141
Q9CR95 Q9UBG7
P36888 P35639
O70441 Q8K214
Q9QZS8 Q99LI5
Q8K285 P41182
Q12888 Q9ESN6
A2BH40 Q8VE91
O75143 P29122
P35235 Q9Z2B5
P84244 Q9Y4D1
Q80Z64 Q3U4G3
P16615 Q9NXV6
Q8C2K5 Q99ME6
Q61026 Q9ERB0
Q9CQR7 P10721
Q3TCV3 P20393
Q9Y6N7 P42338
Q9Y618 Q8BGV8
Q9WV31 Q8TEK3
P10415 P41499
P12979 Q9QWL7
Q8VCD5 Q8VCF0
P13497 Q9D8B3
P63044 P41182
P37242 Q9UPT5
P60709 Q99ML1
P52194 Q6XZF7
P04273 Q99MK8
Q3UIK4 Q9QZ88
P46935 Q3UZZ4
Q5EBH1 P49790
P41778 P57716
Q9CXC9 Q86SQ0
P29122 Q60749
O54826 Q6Q899
Q62073 O35261
P35279 O35286
P60709 Q5NCS9
P63010 P51608
O35618 Q9NR31
P07207 Q86SQ0
P06899 P11798
P98083 P51637
Q6ZWS8 P63073
Q91ZK0 Q8QZZ8
Q9WTV7 P54830
P31273 Q3TBT3
Q8K450 Q9R190
P49711 Q8WUM4
Q9Z277 Q8BKI2
Q96AP0 Q8BKI2
P40855 P29122
Q8VE65 P10721
O35345 O35286
Q8K4Q0 Q60641
Q05144 Q8VCD5
Q9DAN1 Q00322
Q62725 O88797
Q811U4 Q09163
Q8VD65 P54841
Q62048 Q5SWW4
Q8BHJ5 O70511
P09632 Q9NR31
Q8WUM4 O08734
Q8C796 P22681
P62834 Q61827
Q925I1 P45984
Q03347 P48736
Q811U4 P52294
Q8C2B3 Q08484
Q8K0H5 A2A259
O35710 Q03142
O75436 P28322
Q62233 P56716
Q61543 Q64213
P04899 Q62849
P00397 Q921D4
Q9CWX2 O75581
Q99MK8 Q91ZW3
Q61466 Q5SPW0
Q8IXK0 Q9Z101
Q14315 P15337
P12830 B2RWS6
P54725 Q14185
P17156 P56931
Q8VCD5 Q5SWZ9
P58771 P49790
P15532 Q9NR31
P29477 Q62725
Q5BJU5 P17931
P23708 P52194
Q9ERB0 Q99MI6
Q14677 Q61543
O35658 Q3TCV3
P15884 P12003
Q27934 O97143
Q8VCD5 O35235
Q0JRZ9 Q9Z204
Q9Z0S6 Q62233
Q99J83 Q9DAN1
Q8BX09 P57764
P48736 Q5VIR6
Q99ML1 Q03052
P09450 Q9DCM2
O35516 Q9JIY5
Q9CR95 Q99743
Q99NB1 P01101
Q60698 P04925
Q80TQ2 Q8BRH4
P03888 Q8TEW0
P09632 P70313
Q61411 Q5BJU5
Q80UW2 P26309
Q62447 Q92556
Q99N13 Q8BGT1
P50540 Q9Z1T1
Q99JB6 P16615
P61224 Q811U4
Q60972 Q99MS3
Q925I1 Q8BGT1
P52795 Q9ERB0
O75530 P32851
Q9CWR8 P18541
Q5EE38 Q8VDD5
Q9D5L7 Q64213
Q9Y5U4 Q63932
Q61576 Q923E4
Q64279 P32883
Q9BYE7 P22682
Q9CXF7 P31324
Q15599 Q8VDD5
O08852 O43521
Q60770 Q00286
Q8CDG1 Q5SWZ9
Q6ZPI3 P26038
P16615 Q8VDU0
Q3TCV3 P78352
P15209 P84244
P09023 P10820
Q9DCJ1 P49790
P23242 Q8R4K2
P20293 Q99P72
P48437 Q8BH43
Q9CW03 O43353
Q8CAQ8 Q8IYB4
Q9H845 Q92556
P61765 O09106
O95810 Q924A0
Q9WU78 P12979
A2A6Q5 P39052
Q9CW46 Q5BJU5
Q8BX10 Q9CQ20
P42582 Q9NPP4
P16104 O97143
P52194 Q3UUV5
Q9Z0W5 P09023
Q9Z2B5 Q91YE6
P22227 Q9ERG0
P46013 P31946
Q5BJU5 Q13547
O14745 Q9JL19
Q5SWW4 P31324
Q08484 Q8BVE8
Q7TPV4 Q8BGV8
Q9H845 P70347
Q8VHC5 Q9UBU8
P49768 Q01094
P62806 Q99JW4
Q9ERG0 Q9ERE7
Q811T9 P46099
P00397 Q06507
Q6NZ36 Q5SWZ9
Q9JHG7 Q9D9Q6
Q9Z0H7 Q61827
P01111 Q08945
Q8BHB0 P51881
Q9NR31 P51450
Q5NCS9 Q61286
P25916 P00397
Q5DW34 Q9EPC1
Q9QUN7 Q3UIK4
Q5BLK4 Q62311
Q64337 P19438
P10809 Q9JIH2
Q9DAN1 Q4JIM5
Q13547 Q62108
Q99743 O88566
Q9CXC9 Q5EBH1
Q99JW4 P50540
Q6PAL8 Q9WU38
P23443 Q6PAL8
Q3TKT4 Q8VHC5
P47757 Q8K4Z3
P10809 P09631
Q5DW34 Q5S006
P04156 Q16539
Q02395 B7ZNG0
Q12888 P35579
Q9Z2B5 Q60644
Q9UKV5 P12931
Q80U12 Q64287
Q9JJY3 Q99NH2
P81122 Q61286
Q8CAQ8 Q9CQV6
Q9ERD7 P26687
Q9DBG5 P05141
Q61644 Q03052
Q8TEW0 P13497
O54790 Q8VD65
Q9BV36 Q15596
Q08369 Q96NW4
O54774 Q9JM05
Q3UIK4 Q99MI6
Q80TP3 Q9D5L7
Q9CR95 Q15599
Q61553 Q8R3L8
Q13547 Q9Y5U4
Q8BVE8 Q13085
Q9ESU6 Q92558
Q15019 P23772
Q9CR26 Q9NTG7
Q9EQD0 Q99020
Q8BH43 P25976
Q99ME6 Q7TNC6
P14142 P63038
Q9CU65 Q8IWE5
Q91ZW3 P70335
P00397 O75695
Q62296 Q09163
Q8VDD5 Q6ZQ88
P62806 Q9Y5X1
Q3UUV5 P23242
Q91V12 Q6PGF3
Q14152 P23204
P04273 Q63932
Q9Y5U4 P26687
Q3TCV3 P97879
P15884 Q9WVK4
E2JF22 Q16594
P20823 Q99LI8
P52294 Q61576
P50395 P55055
E2JF22 O00443
Q99ME6 Q5BLK4
Q5S006 Q99ME6
Q9DCM2 P06400
Q60698 P05141
Q8WUW1 P04273
P04273 P61224
P15884 O94817
P35579 Q8CII8
P97310 Q9JHG7
Q61727 P54725
P42582 Q14677
Q08945 P35279
P41182 Q9DBL9
Q9Z0Y9 Q9CWX2
O75530 Q9Y2Q3
P17535 Q91X58
O35286 Q5SWZ9
Q64096 Q62280
Q60737 P21107
Q9WTK8 Q07813
O08547 Q9CPW4
P32067 P42208
Q62420 Q07120
P17931 Q9JJY3
Q9NVI7 P63165
Q27934 Q8QZZ8
Q9WTK8 P61586
Q3UHK8 P41182
Q8VEM8 P53992
Q99MI6 Q61699
Q91X20 Q8VBX6
Q8BGC0 Q9UPY6
Q62908 Q9Z2G6
O35286 Q8VDU0
Q9R0X5 P01108
Q3UZZ4 Q8CFN5
Q5SW79 P48432
P35227 Q8BGV8
Q7TQJ8 Q9DAN1
O14745 Q05769
P46531 P09619
Q9JMB7 P29083
Q08369 P29466
P26038 O75460
P31273 Q9CQV6
Q8CFI0 O88939
Q9EP80 Q8BMT4
P10417 Q60770
Q99JR8 P04156
Q61699 Q9NR31
P84228 Q62420
P35285 P84244
Q9Z148 O43353
Q8K4Q0 Q99N13
O88522 P35279
P22091 P56402
P63038 P25801
Q8BGC0 P60322
Q9Z1W9 Q61091
E9Q3T6 O35526
Q8K0V4 O54918
Q9Z2D6 Q8C8R3
O75460 P15337
P50395 Q8R5C8
Q5SWZ9 P29037
Q8VE91 Q04695
P51945 Q9CR26
P12755 Q9QXW2
Q9Z1X0 Q9UPY3
Q9QY01 P28347
Q9QY01 Q99N13
Q8CFV9 P16615
Q61644 P35279
Q9CQY1 Q9Z1X0
O09053 Q9JHG7
P13393 Q68FD5
P62834 P84243
P00397 P54725
P23198 P11442
Q9CW03 Q99JW4
Q00566 Q9H1Y0
Q9ESU6 Q14677
P26687 P41250
P05141 P70388
Q60793 Q63932
Q6PHU5 Q0JRZ9
Q8K4Z3 P54254
Q01094 Q62418
O08547 Q99JB6
P46097 O60341
Q5VIR6 P09450
P48736 Q80Z64
Q925I1 Q92614
P97357 Q91YI1
Q80UV9 P22723
P51881 P18654
Q5VIR6 Q86SQ0
Q05769 Q15628
P62962 P15923
Q9Y6N7 Q61301
P70428 O88351
P32835 Q09014
Q61216 P62834
P46935 P15337
Q00422 P98083
Q920B9 Q02763
P84228 P09411
Q6NZ36 Q9NTG7
Q3U7R1 Q8K1I7
Q91XE4 Q9NTG7
Q8VE65 Q9BXL7
Q02308 Q96QV1
Q6P9P6 Q8CHI8
P70662 P51150
P46152 Q80Y61
Q99963 Q80U63
P68135 P62806
P48025 Q6P9Z1
Q9DCT2 P37238
P21279 P63141
Q15599 P16615
Q64364 Q61553
Q5S006 Q16594
Q9ERE7 Q924T7
Q6GQQ9 Q9DCT2
Q9QZL0 Q8BGC0
P21675 Q14315
P60322 A2AU37
Q80WQ6 Q62093
P09411 P63015
P48432 Q9JI78
Q8BPU7 Q9JL19
P20293 Q0JRZ9
Q8BH64 Q8CFE3
P41778 P13796
Q99MS3 P09450
Q09163 Q2VPD4
O94888 Q4ACU6
P62812 P15923
Q925J9 Q02111
P05622 Q9Z2D6
P70662 Q9QXG4
Q9Z2X2 Q99KV1
P09958 P63101
Q91X58 Q5SW79
P55055 Q9QXG4
Q60821 Q9UPY6
Q80US8 Q16611
Q03160 P26367
O43516 P43247
P15864 P41250
P46097 O43143
Q9NTG7 P35221
P00397 Q80TP3
Q08945 O88384
O88907 Q6DID7
P30051 P61007
Q9UBL3 Q9Y2A7
Q3UIK4 Q9QXS1
P40336 Q60698
Q99ML1 O89100
P27577 Q5SPW0
Q8VI67 Q8VCN5
Q8VEM8 P09632
Q80U63 Q61466
O54918 P31273
O08852 P18911
Q60641 O43896
Q3UHN9 P16858
O43516 O75460
O95810 Q9Z1J1
Q8K0H5 O88485
O35526 P97302
Q9DB91 Q8CAQ8
P14859 P04925
Q9ESK9 Q3U4G3
P25118 P49418
Q9CZA6 P15976
Q6ZPI3 P63101
P70428 Q3U6Q4
Q921E6 Q09014
Q80Y61 P13346
Q63932 P25801
P30275 Q9WU00
Q07832 Q9Y6N7
O35099 Q9DB91
P46152 Q8WUM4
Q9D9Q6 Q3UQN2
Q91X20 Q9P1Y5
Q91ZK0 Q80U72
P21107 Q16514
O54941 P26769
P25705 Q92831
Q9UKV5 P52294
Q9CXF7 Q8VHC5
Q9Z2G6 P17275
Q62193 Q8C0J2
A2AN08 Q80WQ6
Q8JZN5 Q99962
P29037 Q8VEM8
Q9Y5K6 P63015
P25801 Q9EPC1
P11362 P23242
O35177 Q9Z0S6
Q8VEM8 Q62108
Q61216 Q9R0M6
Q96QV1 Q01094
Q6XZF7 Q9D903
Q9CW03 Q09163
Q60698 Q8VBX6
Q60793 Q9Z0G0
O35696 Q61221
Q9D8T2 Q06481
Q9D903 Q03142
P70677 P00397
Q8VCF0 Q99MV1
P56716 Q61466
P15307 Q9H845
Q9CW46 Q5SPW0
Q9Y2Q3 Q9DCN2
Q925I1 O75962
Q9Z1W9 Q5SWZ9
P63217 P27782
P61019 Q9BSB4
P23798 Q8K1I7
Q9DCC8 Q61166
Q60520 O75143
Q8CGF6 P70388
O70441 Q9DCC8
P32067 P40855
Q3TQ03 Q09014
P14735 Q62315
Q9Z204 O75695
P51532 Q9Z2B5
Q09163 Q08484
Q9ESU6 P70191
P60953 Q8BJS4
P97411 P63140
P17679 Q8K341
Q14152 Q13263
Q96AP0 P11881
Q8VDU0 Q8VE91
P41969 Q05193
Q92833 Q6DID7
P63017 O08547
P14735 Q9D0A0
Q08484 Q9EP97
Q8BGT1 Q8TF76
Q8CDG1 Q9QXE7
Q9HCE1 Q8BMT4
P63211 Q3TCV3
P98083 P15864
P11416 P52194
P15864 P51693
Q80YV3 Q13563
P17947 Q9R0M6
Q7TPV4 Q8BGT1
Q8BHB0 Q9QXA5
Q45KJ6 Q9CZA6
Q9EP80 Q921E6
P13405 Q8VCN5
Q5DW34 A2AUM9
Q9CQV6 P61019
O08528 P09023
P23242 P57716
Q61598 Q8BJS4
A2AGH6 Q9CQU3
Q61553 Q8VEM8
P48678 Q4JIM5
Q8R418 Q5SWZ9
P22366 P25118
Q9GZM8 Q8CHI8
P09411 O75581
P25976 Q9WU38
Q60778 P23818
O35235 Q9DAN1
Q80WQ6 P28322
Q91W69 Q60821
Q00286 Q9D8T2
P63017 Q9NVI7
O70172 P63141
P50153 Q9UBU8
Q08509 P42582
P52431 Q7L576
Q9Y5U4 Q61234
Q9ERE7 P41250
P25705 P70196
P17879 Q99814
Q03164 Q91V12
P97481 P28741
P18850 Q60898
Q60996 Q61644
Q9EPK5 Q8BGV8
Q80Z64 Q09163
O75529 Q8BX10
Q9CQU3 Q6W2J9
Q7Z434 P41499
O09053 Q9P1Y5
P70428 P52293
P28563 P35585
E2JF22 Q8TEK3
P40818 Q9JM54
Q9UKV8 Q61576
O08547 P83917
Q99496 P41250
P63328 Q8BSQ9
O35451 Q62073
O35618 P35288
O95149 P08113
Q99N13 Q4JIM5
Q60698 Q0JRZ9
Q9D903 Q5NBX1
Q9CWR0 Q00286
O35345 P04156
Q13496 Q9Z2B5
Q9Y2T1 Q9WU42
Q03347 Q9QY01
P12931 P19438
P46531 Q9WV31
Q61712 P57764
Q60996 Q8BKX1
P12830 Q60722
Q15628 O75460
Q99ML1 Q14164
Q99NH2 P49959
P29037 Q61543
P31324 P25118
P53566 P18484
Q9DCC8 Q9CQ39
Q9ERE7 Q9WTK7
P23927 P05141
Q91X20 P54830
Q99MI6 Q03963
Q9CZD3 P07207
O70374 O88384
Q15370 Q7M6Z4
Q7TSZ8 Q3U7R1
Q80U04 P68400
P51637 Q62193
P26367 B7ZNG0
Q15788 P52194
P52194 A2A935
Q8CHI8 Q8BH64
Q924A0 Q62747
Q0JRZ9 Q9UBU8
Q8R4K2 P48678
O35963 Q00566
Q92830 Q8BLU0
P21675 O88447
P09023 Q5BJU5
Q9DBG5 Q9DAN1
Q5EBH1 P41182
P04273 Q8C0V1
P49817 P54727
Q8K4Q0 P20823
O75581 P62834
Q6P5F9 Q9EQD0
P97573 P15037
P55258 Q45KJ6
Q9GZM8 Q9Z2D6
Q16611 Q9QZ85
Q8C2K5 Q5SPW0
Q9QZR5 O35963
Q9JIF7 P10085
Q9DCM2 Q9Z277
Q99963 Q9UBL3
P11881 Q5VIR6
Q80U70 Q4KM98
P40336 P10085
Q9WUN2 Q00322
Q9ERD7 Q60737
P22227 P63000
Q8VI33 Q9ES46
Q9CR26 P13497
Q99LI5 Q9DBG5
P20339 P09803
Q4KM98 Q9JJY3
Q6ZQ88 Q62108
Q16695 Q9DBG5
P13346 Q13393
P59759 Q9JM54
O75962 P61019
Q8VHR5 Q15139
Q9NPP4 P97481
P10721 O14735
P39717 Q64318
Q05860 P20340
Q9R0Q1 P22091
P42582 P50570
Q60973 Q9JJY3
P39052 Q91X58
P26309 P33176
O43896 Q3ZCQ8
P60229 P61019
P15976 P70347
Q8VE91 P63017
Q9JIF7 Q8VBV4
O75143 O43521
P48736 P14653
P20226 Q61598
Q69ZM6 P23242
P07207 Q13085
P20029 P51608
Q921D4 P21278
Q15370 Q91YR1
P15314 P23242
Q9Z0Y9 Q9Z0S6
P97369 Q99684
P30051 O75122
P49711 Q8C456
P51448 Q9DCT2
P48443 P16615
P42566 O70343
Q80US8 P53992
P15307 Q8VBX6
O14735 Q9CWX2
P23818 Q9JJP2
P30275 P35639
O95810 Q8CBD1
Q9Z2X8 Q08484
Q4ACU6 P17679
Q3U4G3 P19438
P18541 Q8VI67
Q61496 Q6W2J9
Q61316 P15884
P61019 Q99LI5
Q3UZZ4 O35099
Q99JX4 O35618
P61027 Q925J9
P05787 P19438
P51637 Q5XJY4
P05627 P42566
Q9WUN2 Q9WU42
Q9ERG0 Q15599
Q9D9Q6 P70166
Q01853 Q99NB1
P51480 Q9NTG7
Q3UQN2 Q61457
Q9BV36 P25801
Q9Z0P5 Q00566
Q80U12 Q8JZN5
Q9H845 Q03526
P0C605 Q62280
P63217 P51450
P25705 O75716
P63085 Q8BLU0
P28741 P31273
A2AGH6 Q91ZP6
Q60793 B7ZNG0
A2AGH6 Q9H845
Q80YQ2 Q8K3Z0
Q3ZC07 O08734
P28652 Q9JIH2
Q9DCN2 Q60996
P63239 A2A6Q5
Q62447 P70166
Q8BP92 P48987
P46013 Q8BPU7
Q9DAN1 Q80U72
P60766 Q8CGC6
Q9Z2B5 O43189
B7ZNG0 Q80Z64
P14859 P48736
Q8VBV4 Q3UHN9
Q01320 P51141
P21803 Q61466
P12003 Q06481
P48985 P63038
Q9DAN1 P42574
Q68FD5 Q9Y618
P20029 Q61164
P35436 O35618
Q9ESN6 Q12888
P63217 Q9CW03
P63038 P42232
Q80UF7 Q99K48
P70347 Q8VI33
Q8CDG1 Q62233
Q9CQU3 Q14185
Q5BLK4 Q6PAL8
Q9NR31 O54826
O88509 Q99NH2
Q3UQN2 Q80UV9
Q9D032 Q9WVK4
Q60973 Q9Z101
P21675 Q8CDG1
Q5SWZ9 Q12840
Q3ZCQ8 Q61496
Q62696 Q6P9Z1
O70374 P28223
O75962 Q8CAQ8
P31809 Q60641
P22682 Q62280
P52194 O35625
Q5BJU5 P32851
Q6DID7 P21784
Q6ZPI3 Q9JIY5
Q8K0H5 Q9EQZ6
P09632 Q9P1Y5
Q8VI67 Q62083
Q64010 Q99743
P26309 Q8K3Z0
Q63ZW7 O75581
Q9NUX5 Q9UHR4
Q9JM05 P62743
Q9QXE7 P51637
Q9CWX2 P46531
Q60996 O08838
Q09163 P36888
Q80U63 O43353
P70335 Q8BVE8
Q8BNY6 Q6P9Z1
O70343 P13497
P70343 P28574
Q9CZD3 Q99NB1
Q9Z0S6 Q99LI5
P11420 P55258
O70343 Q9UPT5
P29590 P09803
Q9Z1J1 P05532
P42567 P68400
P19878 Q8CHI8
P29122 Q9JHD1
P26687 Q00547
P78352 P24468
P62820 Q61466
P21675 Q9QXS1
Q9P1Y5 Q15554
Q15545 P05141
P13405 P63000
P56931 Q7M6Y5
Q8CDJ3 Q06587
P61765 Q5NCP0
Q61598 Q01094
Q14677 Q60520
Q80WQ6 P37198
O70374 Q9H845
Q7TNC6 Q61712
Q4ACU6 P84228
P12003 Q60973
Q9JJY3 Q9NPP4
Q8BLU0 O08808
Q60644 Q99MI6
Q9ES67 Q8BVE8
Q60803 P05627
O54864 P28223
Q9JMB7 Q9JM73
Q9Z2G6 Q8CGF6
Q60520 P09958
Q15370 Q5SPW0
Q45KJ6 P09958
Q15596 Q9EPC1
O75716 P19438
Q3U4G3 Q61166
Q92833 Q07813
O35345 Q9WTK8
Q61496 P07207
Q9UKV8 Q811U4
Q9R190 P32883
Q60898 Q00322
Q9BXL7 O54918
P39428 Q9DB91
Q6PB44 Q9H845
P23242 Q9JL04
Q920Q2 Q9NTG7
Q8C8R3 P97481
P23818 P84243
P51637 Q99PP7
P13346 Q6Q899
Q9Z2V6 Q8VEM8
Q8BP92 Q9ES46
Q9NPP4 Q9Y2Q3
Q9UBL3 P19438
Q13263 Q62420
P18484 Q9Y2Q3
Q99NC0 P28223
Q9Z148 P35279
P25118 Q6PDG5
O43164 Q13547
Q3UHN9 P35579
Q8VC85 Q99N13
Q61686 P35278
Q8TEW0 Q8K4K2
Q9Y6N7 Q60809
Q64318 P42566
P51943 Q61543
Q61033 Q5NBX1
Q3UQN2 Q91ZK0
O35904 P28347
P97411 Q9Z2D6
Q3TBT3 O88291
Q6XZF7 Q5SWZ9
Q00322 P60953
Q9UPY3 P51825
Q02395 P70429
Q80TP3 Q9R0X5
O43521 O35177
P30658 P30671
Q08484 P43247
P0C605 P16615
Q7TNC6 Q9UBL3
P62834 Q62315
Q9CQJ4 P10809
P26361 Q5NBX1
P46097 Q9D902
Q00959 Q9UKV5
O08918 E2JF22
Q64287 Q99ML1
O35286 Q03555
Q80W00 Q14152
Q8C0J2 Q9CR59
Q9NVI7 Q6A078
P63141 Q7TQJ8
Q9DCC8 Q9D8X5
P70460 Q60722
P63212 Q9Z2D6
Q9DBG3 Q9D032
P35221 Q9JM05
O75962 P48987
Q8C0J2 O08852
Q8BMT4 P31938
P25976 P61027
Q80U63 Q9H2K2
Q9CQJ4 Q91W69
P42574 P49711
P04925 P70347
Q9Z0S6 Q60749
P56817 Q8VCD5
Q8VE65 Q8R1S4
P00397 P62960
P04156 P84092
Q9R190 P05622
Q9WTK8 Q9Z0S6
Q91W69 Q9Z2D8
Q13671 Q60698
P11440 Q9NR31
O35963 Q60972
Q9Z1J1 Q01063
Q3U6Q4 Q8R3L8
Q91ZP6 Q9JJ28
Q14315 O55203
P63140 Q8CDJ3
Q14247 P97357
Q9NUX5 Q8R5A3
Q96EB6 P09803
P83917 P55040
Q9BSB4 Q6ZWS8
Q9Z101 P23772
P10809 Q9R1U5
Q3UUV5 Q9DCC8
Q5SPL2 Q9NR31
Q80Z64 B7ZNG0
P54841 Q80UW2
Q9CR95 P49817
P31273 Q9R0Q1
A2A6Q5 Q811D0
O09053 Q8K1I7
Q60821 P70347
P56817 Q64104
P09411 P23242
P07901 Q61585
P70166 P13405
O35973 Q9NTG7
Q16594 Q61851
Q5DW34 Q80U04
Q05769 O08583
Q6PGF3 Q8BPQ7
Q99PW8 Q5DW34
P47811 Q8K4Z3
P28322 Q5SWU9
O14735 Q8C5S7
P13393 Q8BGV8
Q6PAL8 Q9Y4K3
Q9D8T2 Q60520
P35585 A2AU37
Q9DCM2 Q13563
P32067 Q61166
Q62725 Q91WQ3
Q03142 Q8K3Y3
P26687 P70429
Q9Z101 Q9Z277
P31324 P15923
Q7M6Y5 Q15370
Q00422 P29994
Q9DCT2 Q60898
P63038 P31324
Q5SPW0 Q92830
Q71LX4 Q8VCF0
Q61686 P58771
Q8CBD1 P60766
Q96AP0 P35279
P17947 P51150
P24468 Q7M6Y5
Q80WQ6 P25786
Q00566 Q99J83
Q12888 Q99MS3
Q6PAL8 Q99LI8
Q9WTK8 Q00547
Q15596 P51693
Q06587 Q8BX10
Q60641 Q9Z0G0
Q80TP3 Q6PAL8
Q96EY1 P70399
Q15554 P42567
Q9WUU8 P30275
Q61827 O14745
P70444 Q8VCD5
Q4JIM5 Q00566
Q8K341 Q6PAL8
P70677 P28563
Q7Z434 P17931
Q92783 Q9JM05
Q91WT9 Q8NBS9
Q8CGF6 Q4FZB7
P17947 O75581
Q5NCS9 Q91ZP6
Q61686 P00493
P25801 P51668
Q9Y6N7 Q9CQJ4
O43516 Q61585
Q5SPL2 Q9GT24
Q8CGN4 Q92783
Q60778 Q9DCC8
Q03347 P12830
P01108 Q9GZM8
P83940 P08081
P15307 P50395
Q8BX10 P57716
P42208 Q9R207
O14735 Q9R194
Q9JII7 P09958
Q62908 Q61234
P51881 P31324
Q61091 Q910N6
P12830 Q80U63
P26039 Q7Z434
Q07120 O75122
