O95848 P28331
Q9NXR1 Q99567
Q99613 Q9Y2Q9
P19438 P07900
P03928 P38439
Q6ZWX6 P56134
Q9NXR7 Q5T1J5
P17918 Q00059
Q9Y250 O43684
P53355 Q99848
O75533 P18054
Q96SI9 Q92481
P22830 Q5FWP4
P33724 Q9HAV7
Q92730 Q8TCJ2
Q9Y4K4 Q9NY61
Q92754 O75563
P13196 P28066
O00303 O75691
P49815 Q9NPI1
Q8IWV8 Q8R516
O94806 P15407
Q99575 O75390
P27540 Q14318
Q969T9 O75439
P08579 Q99962
Q9UID3 O15226
Q9BSJ2 P68400
Q9Y6W3 P20674
Q9P2Y4 Q03135
O15315 Q96I51
Q709F0 Q15005
P15289 O75956
Q16629 Q32P28
Q9H7L9 Q9NUN7
Q9NQG5 Q8CIQ7
P23025 P78371
P60468 Q13309
Q96I51 O95619
Q15005 Q01714
Q9H3D4 O75390
P62913 Q9NZ01
Q13724 P11940
Q7Z4L5 Q99967
O75570 Q9BUJ2
Q9ULI4 Q13435
Q9HAU5 Q15652
Q14676 P21333
Q24564 Q04837
Q92734 O75446
Q13554 P52272
P20618 P10109
P52164 O15085
Q86VM9 Q96SI9
Q9Y399 O43823
P53621 Q9HCS2
P55957 Q99081
Q93008 Q14526
P89105 P12814
P48967 Q16584
P25054 Q9H4Z2
Q9H2X8 Q9H147
Q70SY1 Q00005
O43491 P46013
P63000 Q99941
Q92685 Q9BSM1
Q15014 O88811
P98172 Q7Z7A1
Q86YB7 Q15649
Q8N5Y2 P35611
Q04759 O75367
P56545 Q80TQ2
O55033 Q99684
Q13595 P46939
Q03252 P70444
Q9H4Z2 Q9H0U4
Q92667 Q01130
Q9Y262 P26358
Q13118 Q92615
P48524 Q86XK2
Q9P243 P54099
Q8TF01 Q96QB1
P08151 Q32P28
Q9H0F6 Q8N983
P52701 Q9NYL9
Q9BRV3 P49591
O43711 P60880
Q9QWY8 P62805
Q16385 P49327
P48552 O15355
Q16718 Q15386
Q16762 P53064
Q15831 Q96G23
Q9UGK3 Q86TI0
Q04205 Q61324
P27144 Q15418
P56519 Q6P0Q8
P49411 Q9UBF1
Q15286 Q13595
P06132 Q9BZE4
Q86U86 P53675
Q61411 A8CG34
Q13885 O55081
Q9BUJ2 O75964
P51572 O60306
Q75N03 Q00325
A2AGH6 B2RTY4
O75175 P39656
Q00059 Q8WVC0
Q9BUE0 O14734
P29692 Q969Q0
Q9NZM3 O96019
Q03017 P38432
P11103 Q32P28
P17600 Q15369
Q71RC2 Q05195
Q8N122 Q8TDN6
P49756 Q9BV35
Q9HB96 P25054
Q8WXI9 Q8N8S7
P16435 Q9Y6H1
Q66HA1 P50454
Q9JHG7 Q14191
Q9NZ01 Q8NC96
P49368 Q99941
Q16822 Q15047
Q8WU17 P42227
Q9NTJ4 P56545
Q8WY22 Q9BPX5
P58876 P01584
Q6P1Q0 Q96KM6
Q12852 P0C0S5
Q62862 P09798
Q96I59 Q9UBQ0
O75369 O60306
P61225 Q96DA6
O75475 O75746
Q9H0U4 P01106
P25398 Q5SSJ5
Q9NPG3 Q8WW33
Q9UJY5 P32883
Q62862 Q9P0M9
Q15369 P41250
Q9Y3B4 Q92667
O14974 Q9NUB1
Q6KC79 Q9HA77
Q14683 Q92947
P09958 Q9Y3E5
Q7Z3K3 O75570
Q12888 P63038
P05413 Q15800
P14868 Q96EE3
O60238 P35221
Q13094 Q9NVC6
Q9BQ69 P55084
Q15173 Q16795
Q9NQL9 P35372
Q13459 Q03164
P20936 Q9UBC2
Q96G23 Q9BTT6
P20029 Q13435
P12074 P11802
P12004 P18031
P06576 O75446
Q61324 Q9H4B7
Q03111 Q9Y262
Q6P0Q8 P04843
P16615 O94826
P48553 Q8R0Y6
Q8IYT4 Q6NZY4
Q9H7Z7 Q9NPG3
P91943 P21399
P63280 Q709F0
Q9Y657 Q16718
Q8NBJ4 Q15652
Q96N77 P51970
P06240 Q96QR8
P23528 Q00325
Q92934 Q9UNQ2
Q9NZQ3 O14745
P24604 P56480
Q7Z3K3 Q8WU17
Q8IWT3 Q15427
P31040 Q13501
Q14566 P36406
P49406 Q9QXS1
Q9UHN1 P68040
Q13794 P89105
Q9H7E2 P51398
O95631 P15884
O15381 Q96DV4
Q9Z272 P54278
P51648 Q9BRL6
P07947 P05412
Q9BYD1 O00273
P53814 Q9UK58
P27797 P55317
Q5T8A7 Q05209
Q8N201 O00273
Q8BL66 Q8TAD8
P17174 O00566
Q96P47 Q13263
Q9HA77 Q9UGL1
Q9BYD2 Q8WYQ5
P48524 Q9H2X8
Q9UBS4 Q13123
Q29554 Q99567
Q99708 Q15438
Q9Y375 Q9Y5Z7
Q9Y4F4 O60238
P82663 O43379
Q01130 P35831
Q9H939 Q9NV92
P53007 Q6QNY1
P14868 Q961D9
O43464 P25963
P63165 Q9Y2Q9
Q9H0D6 Q14134
P16220 O00329
P28331 Q8TD19
O94875 O00308
O94842 Q7Z7A1
P08651 Q7L2H7
Q7TPR4 Q16822
O60762 Q13489
P27144 Q9HAU4
Q13084 P33176
Q08117 O95661
Q9UN36 Q15697
Q9BRJ2 P47806
O75648 Q9H223
Q8IWV8 Q9HAU5
P49710 O75604
O75147 O95785
Q9UKN8 Q9BYC9
Q02978 O14777
P40692 P10916
Q9HA77 Q15047
Q14315 Q15648
Q9QXY2 Q15393
O76080 P33993
Q96NM4 Q15388
Q3TKT4 P50991
O00170 O75460
P31150 O35618
Q96II8 Q9Y2S7
P21333 Q8CFP6
Q8N1G2 P62701
P04233 P59108
Q8CHZ9 P26038
Q92766 P09769
P31942 Q13546
O00255 P10916
P19438 P61982
P11310 P48643
Q9JJV8 O75569
Q9UDW1 P16152
Q9UBB5 Q9NZJ4
P10809 Q9BV38
Q60855 P55795
P62714 O14653
P51991 P51398
P31314 Q14999
Q03135 Q9JIW9
P63172 Q9Y3E5
P53618 P26358
O95793 P03886
Q12789 P62273
Q8IZL9 O75746
Q9HAU5 P48967
Q9UKN8 O00198
P05109 Q13535
Q5T7N3 Q8TF01
Q6IAA8 Q8N983
Q9UDW1 Q13239
Q9CQV8 Q9BZQ6
Q9UBJ2 Q14103
Q9JMH9 Q9NR28
P53618 P49790
Q99LB2 P56945
O43439 Q14999
P58876 O95716
O43464 Q00610
P62333 Q7KRW1
P49452 O14727
P36888 Q9UKL0
P29374 P62736
Q70SY1 P61982
Q86V48 P63000
O55043 P41739
Q13164 Q9Y2Q3
P51531 Q8NC96
Q8N350 P23025
O09106 P62269
O43290 Q13423
Q05519 Q13405
Q14134 Q61188
Q9Y3E5 Q9NPI1
P26599 Q14155
O00566 P80316
Q92974 Q05639
Q9BT30 Q5T7N3
Q9Y6W3 Q8WY22
Q86SZ2 Q9P086
Q5K651 P49736
P38398 Q9BZE1
P34278 Q9Y676
Q68CK6 Q6DKJ4
Q9HAJ7 Q96PF2
O60238 O75369
P08651 Q92598
P04181 Q9ESJ4
Q9NQ50 P78358
P49368 O43521
P23511 Q9H0C5
O75113 Q13094
Q99963 O75533
P09001 Q9H6Z9
P60900 P63038
Q13438 Q14966
P51531 O95613
O94842 Q99NH2
Q5JTW2 P82914
Q8NC51 P56539
Q9JMK2 O00411
O60568 Q9Y248
Q96T76 Q13323
P61201 Q96GC5
P13797 P04233
Q9Y5B9 Q13310
Q15139 Q9Y2R4
O75563 Q9VZF4
P40925 Q9BWG4
P51398 Q16576
Q5T7N3 O00267
P08559 P38042
Q7KZI7 O00483
P58876 O00483
O09118 P29374
P50454 Q70YC5
Q9H0A0 Q9Y2X7
Q9Y3E5 Q8NBJ5
P62269 P38646
P62241 Q01130
Q9JMG6 P49006
P41350 Q02878
Q14191 P51153
Q9NX20 Q9BWJ5
Q13501 Q96E11
Q9JM54 P49006
P19438 Q62915
Q96JB5 P08559
P15531 Q96DA6
Q9BZE4 P61982
O95619 Q9H7Z7
P23771 Q13387
Q9NVI7 Q66HL2
O15085 Q6UWZ7
Q9Y297 P56134
P05413 Q9P0W2
Q3BBV2 P23025
Q96GC5 Q9NVR2
P13196 P09958
Q9Y6K0 Q6ZP65
Q8N344 Q9UKT5
P50416 P27824
P29353 Q9UKK9
Q8NEZ5 Q01094
P40337 Q15120
Q80U70 P22681
P40938 Q8WU17
Q93096 P31274
Q02224 P26017
P13693 P10412
Q8IWX8 P17480
Q64337 Q96JF0
P28331 Q96BD6
O00212 P51432
P27449 O60645
Q92734 Q7L2E3
Q9Y4F4 P57053
O95619 P63104
O14734 Q9Y4B6
Q16795 Q9UDY8
P42932 Q9BQ39
P07384 Q86YP4
Q8IY81 Q9UL18
Q9NVC6 Q8K4K3
Q86YC2 O43521
Q9BUQ8 P12236
P36406 Q9UHV7
Q61337 P18583
P10599 Q16762
P33897 P49756
O00170 Q9Y2K5
Q14008 Q02078
Q96P48 Q9H4Z2
P12830 Q92522
Q66K89 Q9Y676
Q9Y2Q3 Q9ULW0
Q96JP5 Q9H0F6
Q07812 Q99523
Q8NBJ5 Q91XD4
A6NHQ2 P14868
O60814 Q9BYD6
Q8IY81 P78358
Q14451 Q96HI0
P17947 Q13322
O88898 Q8CHQ0
Q16611 Q9Y2R4
P61619 O75956
Q8IYD8 Q8IZ21
Q96SI9 O00217
P16591 Q92734
Q13287 P05627
Q96I51 P24385
P41146 Q6P2C8
O55081 P68133
A2AGH6 P33897
P55055 P52333
Q15029 P30048
P10606 Q5T215
Q9BQI0 Q92665
O60812 P31150
P25106 P28749
P29374 O00303
Q15173 Q60737
P46199 Q13586
P36132 P13804
O70310 P19139
P31150 Q8TDN6
Q9UGM6 Q8C863
Q9NXW2 Q12929
P28072 P04843
P46940 P30038
Q9HCG8 P22528
Q09543 Q9H8M7
P17275 P63321
Q15020 Q96I59
P13804 P20393
O15084 Q68CK6
Q7KRW1 P33568
P27449 O60641
P32243 P51790
P01106 P53675
Q6P1J9 P49817
P04899 P08518
Q16822 Q62073
O75460 P26017
O76031 Q9NPI8
O75964 Q8IYT4
Q96TC7 P04843
Q9UBC2 O55033
Q92947 P97260
Q9NV92 G5EFV3
Q61501 Q3TN34
P53007 P35813
P25398 Q15723
P89105 Q8IVM0
P43405 Q9Y618
O43639 Q5T653
Q99757 Q8TDI0
Q8N6T7 Q29554
Q9NUB1 Q9BTA9
O75489 Q86SZ2
P01584 P16234
P89105 P09619
Q03705 P36507
O75794 Q96JC9
Q13573 Q9HCK5
Q08117 Q96B67
P98194 P39948
P10827 Q13438
Q9Y6N5 Q9C0C9
Q15007 P08684
Q9H7B2 P10109
Q99523 Q13084
P06745 Q9NW13
Q9BQ39 Q8WW33
Q8N7H5 Q5JTW2
P62266 Q96EE3
Q9NW13 P41250
P22830 Q9QXY2
P05622 P12074
Q02978 P42224
Q9C0C9 P17600
Q99081 Q9BPX5
P46781 Q61501
Q92793 P15954
Q9NUL3 P56134
Q9P2I0 Q8CHZ9
Q9UBC3 Q13546
Q8N6H7 P50416
Q07065 Q9JM54
O76021 Q9H4B7
P63038 Q9DCJ1
P39948 P98194
Q6UB98 P05622
O94906 Q9NZM3
P45880 Q9NP66
Q9VA38 P10109
Q96I59 B2RWS6
P31040 Q8TEK3
Q13554 Q8WUA4
Q9BQW3 P60866
Q8CFP6 P04233
P07741 Q9BZK7
P48967 Q9NVZ3
Q9NQC7 Q9NZJ5
P49802 P49411
P05198 Q64701
Q8TCJ2 P49407
Q96RS6 Q9Y2R9
P25398 O95232
Q6P1Q0 P53041
Q9ULW5 P09661
P47756 Q9Y2W1
O43347 Q13423
O60783 O43639
P62269 Q96I51
P63261 P55795
Q96M96 P03886
P04554 Q922H1
P31040 Q00535
P53007 Q08170
O60244 P13693
O14734 P54646
P50749 Q9Y2R5
P10636 Q9UGL1
P63267 Q9UK45
O14965 P41739
Q00325 Q69YN4
P25705 Q8N344
P52564 P14625
O43251 P13674
Q86SZ2 Q9H9B1
Q5H9F3 Q5T215
O75526 Q9UJS0
Q9UBJ2 Q9Y5K6
P04075 Q9UM47
Q9BX70 Q5H9F3
P53992 P28749
Q9NUN7 Q6P0Q8
Q8NC51 P11182
Q8N7Q3 P01584
P41739 Q04205
Q92616 P25705
Q9JM54 Q13043
Q99683 P31274
Q9BUJ2 Q9BRJ2
Q9Y4K4 Q9Y3D9
O15117 P54099
Q60680 Q9P2E9
Q8N122 Q8N5Y2
Q14566 P51659
Q9UK08 Q6VMQ6
Q8N5L8 Q9NZM3
Q9HCC0 Q60680
Q6PD62 Q96EL3
Q96RU7 O00519
Q9P015 P60763
P18847 Q16698
Q86YP4 P53618
O43543 P04844
Q8TAD8 P04844
P33897 Q7L5N1
Q7L5N1 P01009
P35235 Q9Y294
Q6PKG0 O95168
P12883 Q9H7B2
P09671 Q9GZQ8
Q9Y3U8 Q09666
P37108 O43660
O60244 Q9UID3
Q9XZ58 Q9UJY5
P18054 Q9Y4A5
Q13950 Q96CW1
Q15075 P43307
P35869 Q9NVH6
Q9H1E3 Q3ZCM7
P49817 P53355
O15269 O00507
P43246 O75648
Q13188 P82675
P40939 Q6P9F0
O75410 Q5T653
P32914 P78417
Q13405 Q08170
P35998 Q16576
P63261 O43521
Q86WH2 Q92988
P29350 Q8N983
Q99613 P11182
P56480 Q9BVJ6
O09118 P54099
Q9QUN7 Q8CDM1
P53992 O55081
Q3V3N7 P15407
Q9NSE4 P60953
Q96CV9 Q9H9J2
Q9BQ67 Q9NQC7
P10606 P13010
Q9Y2X9 P46778
Q13310 Q96RI1
Q14134 O60907
P51659 P78545
Q92784 P13489
Q8N568 P16104
P05166 Q93074
Q14191 Q13405
Q9Y5B9 O95996
Q9UL18 Q64364
P00966 P18887
O94826 Q9UDY2
Q99757 Q969H0
Q8TCJ2 Q92934
Q8N3Y1 Q13423
Q1KMD3 P21397
P10721 O43521
O60841 O43439
Q15717 Q5T653
O43719 Q9NVZ3
O00198 P40227
P53814 Q10570
P63165 O14653
Q99798 Q13761
P08621 P13797
P08621 P68368
P17174 Q9BZJ0
Q8IZH2 Q96I59
O15020 Q71DI3
Q9NR28 P17655
Q9UHV7 Q6ZWX6
P97260 Q13950
P10636 Q15269
P33724 O00303
P27540 P35220
Q9BRK5 Q5SSJ5
Q13243 Q9Y678
O95168 Q01147
Q15269 Q02763
Q9NVH6 P14868
Q6P2Q9 Q15746
Q14686 Q15746
P24941 O95299
Q9H9L3 P45880
P36776 Q7Z417
Q16654 Q9BSJ2
Q9P2Y4 Q13724
P10505 Q12983
Q13323 P46777
P63322 Q5T653
O75460 Q96QR8
Q9HCC0 Q14839
Q9H4Z2 P19438
Q9NRR4 O76041
Q9HCS2 Q16822
Q9HCE5 Q15080
Q86YC2 P78371
P41250 Q9Y399
Q92878 P42684
Q3ZCM7 Q92733
Q06455 P18824
Q9NVN8 Q5JTW2
P20936 P83111
P07384 O95573
Q15120 P53621
P35250 P27824
P11404 P18085
P41240 Q96HI0
Q9EPW9 Q9NR28
P00180 P12931
Q92625 Q14562
P12755 P45954
Q9Y399 O75410
O35625 P18085
P28574 Q13561
P36888 Q9NQX6
P53762 Q6ZP65
O95864 Q9P219
P14625 P01108
Q969T7 Q03164
Q99873 P20674
P49006 Q15424
O94806 P41895
P53597 P01009
Q96ST2 Q9QUI0
Q8NEZ5 Q6W2J9
P05141 Q8NFH5
O15042 Q16762
P50281 Q9Y5Y0
Q14562 Q9NYL9
Q8TAD8 Q13555
P31946 P23025
Q13813 Q68CK6
Q9Y294 Q9JMH9
Q86W42 P46939
O43293 Q9Y2R5
P15289 O94806
O88898 Q99942
P49736 Q9H792
Q8N157 Q8N726
Q68CK6 P97477
Q9H8H3 Q9GZS3
Q96S66 Q9BYD6
O75928 O43639
O00217 A2AGH6
P35659 O60568
Q96II8 Q9Z1J1
Q9ES52 Q99LB2
P08133 Q99801
Q9EQU5 Q16718
P08559 P25799
Q15075 Q08683
P07900 Q16822
Q13490 O00411
Q9Y676 P24385
O00401 Q96G01
O75460 P09619
Q9H147 O00217
Q15120 P41161
Q14498 Q13287
O95661 P16403
P20674 Q3U0D9
O75306 O76041
Q9HA77 Q96P70
O94992 P09671
O60271 Q9Y3B4
O75533 Q9H2X8
P50402 P14868
Q9JJV8 Q24564
P15954 P50549
Q9BVP2 O60568
O96019 Q02952
Q8N6H7 Q86YB7
P27144 O94806
P15172 O75390
Q86UU0 Q8TF72
P35235 Q9NY61
Q14676 P35235
P62491 P39656
O75691 O15269
Q96B67 Q99942
O60568 P01108
P51659 P13639
Q8TCJ2 Q92733
Q15047 Q96HS1
P11308 Q9BYD6
Q14683 Q7L2H7
Q8WVC0 Q9QZK7
P49710 Q9QUR7
Q15532 Q9BZQ6
P51965 Q16822
P63010 P82933
Q16539 A7E2F4
P10070 Q16611
Q9UBJ2 Q0JRZ9
O75400 P03928
Q9HCE5 Q13114
P09619 P16234
O15117 Q9UGM6
P49790 P22674
P26687 P16949
Q13042 Q5T653
P51659 P25398
P16234 Q16186
P63013 Q99942
Q99683 Q16698
Q8TDN6 Q14247
Q9NRZ9 P46934
Q63ZY3 P25791
O35654 Q15436
Q9UBB4 O00541
Q9NVH6 Q8CBW3
Q14209 P07951
P16403 Q8N2Y8
Q93008 Q9Y3E5
Q9BYD6 Q9HAU4
P11915 Q9UJY5
P82932 O75147
O00519 Q8WYQ5
Q8WX93 Q12824
P15941 Q86SZ2
O15027 P10242
Q9H7L9 Q96IX5
P41350 P04075
Q16643 P25791
P31943 Q9Y375
Q92685 P14923
P01584 Q9UHV7
P58876 Q92506
Q0ZGT2 P56182
Q9H0U4 P11310
Q04721 Q02978
Q15672 Q9NZN3
Q96DV4 Q9UBK2
O75534 Q15269
Q8WVB6 Q92934
P31942 Q99832
Q9Y4K0 P10636
Q8NEZ5 P49736
Q01196 P07947
Q9Y2J2 Q9Y294
P15407 Q9WUA5
Q02978 P11021
Q61553 P51432
Q92522 P20674
O75460 Q9H307
P30876 Q12929
Q71F56 G5EFV3
O43837 A7E2F4
Q02297 Q9H223
P46937 Q86SZ2
Q9HCS2 P17676
Q9HD43 P56539
O60271 Q9Y446
P13056 Q13239
Q05639 Q02978
P00181 P49754
Q99570 P37275
P42568 Q04929
P68032 P29692
Q9UNQ2 P62328
O00178 Q5JTH9
P98083 O60942
P05627 Q9NZB2
O43557 Q9H5J8
Q9NVN8 Q658Y4
Q9NVC6 O95573
P82914 O45406
P39748 P16615
O15503 Q13123
Q8NBJ4 Q9UBB4
P24604 Q96EP1
P49407 P27824
O95347 Q14697
P52597 Q9UQ16
Q9H1E3 P39429
Q9BX63 Q16718
O89110 O60244
P53618 O95299
Q8TCS8 Q9UKN8
O95168 P49715
Q9H4M9 Q9UJS0
Q8N187 O95425
Q9BRD0 Q9UQ16
Q9HC52 Q9GZM8
O43524 P15289
Q02763 P83111
P46108 Q9BT30
Q5T653 O15085
P52164 O00743
Q8NEZ5 Q96NM4
O75526 Q04837
Q9UJS0 Q61187
Q96T37 P20674
Q6PHN9 O75643
O14556 O75691
Q96BD6 Q9BZE1
O15027 P13405
Q9JM54 Q12967
Q15080 P09798
O00198 P70424
P56539 Q8IXJ9
Q14697 P62631
P53816 Q92878
O75390 Q62627
Q7Z7A1 Q9NSY1
P39429 Q96AY3
O75746 P58876
Q9UN36 P08684
Q9BRD0 O00170
P63104 P35249
P13674 Q80V24
Q9Y3A3 Q9UKL0
Q8N6H7 Q99728
Q96M96 P10632
P26368 P06576
P16402 P12883
Q61466 Q16548
P51970 P83916
Q9P035 Q14526
Q99801 Q92843
Q60803 P58012
Q7KZF4 O43521
Q9H0K1 O43290
Q16539 Q86SZ2
Q8CDM1 Q96CV9
Q99942 Q8IXJ9
P16615 P61371
Q9UJW9 P14136
P62879 Q08945
P38439 Q9BYC9
O14556 P68400
Q9JM54 P53762
P22528 P17947
P35637 Q86WH2
Q92667 P09012
P06748 Q13323
P17542 P21333
Q9UDR5 P05549
Q8N8A6 P29353
P05622 P35227
Q96DV4 P08133
O75648 Q71U36
Q9Y676 P26687
P16435 Q15532
P68032 Q9UKL0
P35609 Q9BYD1
Q15800 Q92466
Q5T1J5 P0CG48
P22087 P18824
P07948 P46199
P80217 Q9BT30
O95996 Q96AG4
Q9Y5X1 Q60737
P10637 O60783
P09798 P56945
O88566 Q99757
P60520 Q9UJV9
P48431 P39429
P49841 Q86SZ2
P42704 O95835
P16401 Q91XD4
Q14847 Q9Y375
Q9BZR8 Q9NQ50
P35611 P17480
Q9H0J9 Q14008
Q6KC79 Q13424
P16591 P83111
Q9BYD2 P51812
Q00175 O75390
P61956 P14923
Q92734 Q16630
Q9UBS4 Q14683
Q13347 Q8NI27
Q92665 Q155Q3
P43268 P62269
P28574 Q86UC2
P16152 O75081
P26196 P55809
P06400 P20930
Q15800 P63101
Q5K651 Q15303
Q8WUA4 Q99798
O76031 Q9P2E9
Q96QR8 O95433
Q9BYV2 P28347
O95573 Q63648
P43268 P29466
P43307 P49023
Q9UKL0 P61619
Q13435 P51114
Q02248 Q9NX20
Q7Z3K6 Q13287
Q12888 O95613
Q86SZ2 P15056
Q9HAJ7 Q9JM54
O70310 Q80TS5
P20265 O75569
Q9QXY2 P03886
Q9UDV6 Q9BYD1
Q9H8M7 Q9HD43
P50549 Q16828
Q6IAA8 P63013
Q96IX5 Q9NXF1
P51813 O95168
Q9BUQ8 Q9UBS4
P16157 P30307
O00178 Q15459
Q9HCS2 Q13257
Q9HCG8 Q92615
O88398 Q8N983
Q9HCG8 O95613
Q13423 Q3ZCM7
Q16548 Q8N5L8
P19387 Q96KP4
Q80TS5 Q8NEZ5
P00181 Q7KZF4
Q8NCN5 Q6P1J9
Q9HCS7 Q05193
Q86YP4 P22682
Q8NBM4 P49448
P61981 Q7KRW1
Q9UL18 Q01279
P03928 Q9UPZ9
P12074 Q13133
Q9UNQ0 O00566
Q96AY3 P05549
Q9P2K3 Q8IXB1
P13797 Q9HC52
Q9UQB8 Q96SU4
O35942 Q9UBS4
Q9UKD2 Q16698
P62328 Q99643
P04844 P12074
Q6UX04 Q99LB2
O95248 P49406
Q5K651 Q96ME7
P06151 Q9BUE0
Q9Y5K6 P53804
P27824 P40337
O60907 O55043
Q15286 Q9UDW1
Q15369 P12277
Q7KRW1 P51617
P55199 O75147
Q9EP53 Q06831
O43521 P62820
Q07020 Q15672
Q13084 Q13309
O75027 Q8IVT5
P16371 O43491
Q9UHR4 P09661
P11387 P35221
Q9Y3U8 Q9HCS4
Q9Y2X0 Q01082
Q8N983 Q15397
Q8N6T7 Q7Z4L5
P25705 Q9UKN8
Q9Y2D9 O14653
Q16540 Q96RU7
P54733 P35125
Q5SSJ5 P35606
P17542 Q9HCC0
P09038 P04114
Q15652 Q9Y5Y0
P49207 Q15637
Q9HAV7 P62316
P67809 Q9UID3
Q14191 P00558
O70310 Q8WU17
Q13439 Q86YC2
Q02548 P51114
P52597 Q14160
Q04929 O14709
Q9DCJ1 O95168
Q9Y618 P82675
Q3BBV2 Q9BYC9
Q9H3D4 Q15149
P45880 Q12873
P0C869 Q15672
Q03135 Q96EL3
P21675 Q9QZK7
P56539 Q15654
Q96EY7 Q15369
Q14566 O95433
P09958 Q9QXS1
O94832 Q9HB96
Q8TE76 P17987
P05771 P36542
P15289 Q9NX46
Q15080 P35189
P82932 Q7KRW1
Q9UHN1 Q6UB98
Q8IYB3 P43307
P48059 Q9P2R6
Q571I4 Q15005
Q15269 Q61411
P06576 Q10567
Q8WXR4 P36402
Q9BYV2 P0C1Z6
O75385 Q96HS1
Q3U6Q4 Q9H2S9
P21802 Q96GM5
P15090 P54886
Q92843 Q15131
Q8NBM4 Q02956
Q96DI7 P62328
P01108 P49207
Q9NSY1 P00966
O09106 O00507
Q9ES28 Q99941
Q8R516 P16522
Q06455 Q13439
Q8TF72 Q7Z589
Q09666 O75794
O60563 P51659
O75746 Q15717
Q80TQ2 Q9WV55
Q9NXW2 Q9BV73
Q99880 Q9BYD2
P49815 Q14669
P15407 P55884
P41161 Q9Y623
Q8IYB3 Q5T215
Q05639 Q9UL18
P13674 P09798
Q9EQU5 Q9Y2Q3
Q5JTZ9 P49674
P26368 P83881
P34897 Q14697
Q5VV67 O95466
Q0ZGT2 Q9BYD6
Q16620 P32558
Q9NVD7 Q12874
O75340 P28331
P52732 P25440
O75306 O95864
O75027 Q7Z7A1
Q8IZD9 P12755
P50990 Q13823
Q6UWZ7 P61982
O88974 Q99683
Q61081 Q14683
Q93050 Q9UM47
P82921 O54992
Q14697 Q8IZD2
Q9NVH6 Q9QUR7
O00329 Q71F56
Q9NZJ4 O75964
Q96KP4 P35251
Q9Y6K5 Q96E11
O15231 Q96KQ7
Q12948 Q96HS1
P17542 P05622
Q9UHR4 Q96EP1
Q8NBJ5 Q9NX58
Q8CGN4 O14965
Q86YC2 P12277
Q9WV60 P05141
Q99570 P61956
Q60803 P54278
Q8N5L8 P78417
P25787 O15228
P17535 Q9Y262
Q13428 P27797
P05141 Q9UK58
P16104 Q8N5H7
Q6VMQ6 Q8N2F6
Q12789 Q9P015
O15503 Q8N5H7
Q8WY22 Q8N8A6
P51571 P29353
P35700 Q9BQW3
P51825 Q9NPL8
Q8N2F6 Q49A26
Q9NRY6 O60716
P45954 Q13123
Q9BRJ2 Q9NVZ3
Q01147 O94832
P10809 O60814
P20674 Q8WVC0
Q02952 P48967
Q7Z417 P10809
O95299 Q86Z02
P0CG48 P01009
P22455 Q9BVJ6
P41350 P63085
P05109 O43143
Q99570 P45954
Q96DV4 P62191
Q8WYK2 Q13162
Q9NZJ6 P40938
P36888 P33991
Q13423 P41738
P05549 Q9CQV8
Q9NQG5 Q9UJY5
P35220 P52597
P51659 Q8TD31
P11182 P01584
Q08170 Q9Y285
Q15388 Q9ULR0
P10721 Q9H1E3
P27824 P53814
P35250 A4D1S5
Q8N1G2 Q92616
O95782 P24863
P55081 Q9H9J2
Q96PN7 Q53G59
P11233 O09106
Q9QWI6 Q92734
P62917 Q15459
P56192 Q9UJS0
P01112 O95299
Q9NQX6 Q13239
P98194 O43464
Q15393 P33897
Q16822 O00299
P22682 P30260
P38646 P62269
P56565 Q9H0J9
Q9UBJ2 P42226
P55795 Q3ZCM7
P55809 O15371
P60763 O43439
Q13405 O45406
O95661 O88898
Q8IW41 Q9Y2R9
Q13950 P36542
O00506 P05554
Q96HR3 P07384
Q92878 Q5T653
P46935 O75027
O09139 Q9UQ16
P29692 Q96BD6
Q9ESJ4 Q6IAA8
P17844 P53816
Q9NTJ4 Q9UKV3
P00966 Q8IZC7
P19139 Q2TAA8
P49736 Q9JM54
P23615 P50281
P55194 Q96JF0
O35654 O75369
P82921 Q9HB90
Q7Z589 Q53G59
Q9UHN1 Q07954
P51659 Q6ZVX7
Q2NL82 Q5T280
Q9ULT0 P18583
Q9BYT3 Q9BT30
P09619 Q08683
Q9BZE1 P55060
P83916 P11021
Q16540 O15372
Q8IYF1 P11233
Q96JF0 P02549
P60520 Q08117
P98179 P39656
P55084 Q10570
Q92506 Q9H467
O94776 P11983
Q9NQ55 Q96B67
Q7L5Y6 O95835
Q8WTS6 Q9UHL4
P50570 Q8WYK2
Q9Y3E5 Q96EE3
Q5SSJ5 Q9UKT5
O43189 Q9Y3E5
O00566 P50990
P46199 P28347
Q6W2J9 Q80TQ2
Q9HCC0 Q9JIF0
Q61188 Q96BD6
O94806 Q9VZF4
Q8NAV1 P00558
Q9UGK3 Q9UKN8
P10276 P15954
Q9C005 O95786
Q9H2X8 O15355
Q9P0M9 Q9BQ67
P51659 Q9H160
Q02224 Q13405
Q9UN36 P33991
Q8TDY4 Q9NPI1
Q9UIJ7 P18054
Q9UQR1 P49207
P48059 Q49A26
Q96NM4 Q9P219
Q6ZVX7 Q9UNP9
Q8WY22 Q9BQG0
Q00059 Q12756
Q96DU9 P27540
O75027 Q9NUN7
O15355 O75489
Q9NSD9 Q99959
P19139 O95674
Q6P1Q0 P53680
P17844 Q09543
