Q96K21 Q13627
Q96RK4 P68431
P46060 Q15629
O94888 Q8NHV4
Q9NZI2 P20428
Q9UPX8 O94782
Q8R5C8 O43557
Q07813 P49716
P56962 P12235
P12003 P54278
Q924A2 P62269
P18858 Q96RK4
P46940 Q6NSJ5
Q9Y5K6 P33993
Q3SYG4 P23255
P23255 Q16891
Q5VWQ8 Q16611
P21554 Q15468
P40967 Q00566
Q9FNE9 Q9BXM7
Q60641 Q15139
Q8VDS3 P20340
O75880 Q9BZK7
O75586 Q08209
O14640 Q6NXW6
Q9HCM1 P24723
Q9NYV4 Q9UPQ9
Q27272 P20936
O94979 P15036
Q15652 Q04695
O43684 P14923
Q9UID3 Q8WXD5
Q16891 O95402
O15409 P01111
P16152 Q02218
O43557 F1MNN4
Q9UBS4 Q9UL03
Q96GG9 O95747
Q96RI1 P40227
P25490 P06396
O89110 Q6NSJ5
Q6GQT6 P62995
P41212 Q2KHM9
P49769 Q13547
Q15907 O75448
P11310 Q8WUF5
Q96EY1 Q6ZSG1
Q9H6L5 P00966
Q9H165 P10809
Q6STE5 O75140
P23193 O60603
P15407 P16152
Q92558 Q7L1W4
P12504 P62803
Q9NS37 Q3UHK8
Q13884 Q8NFR3
Q01082 Q6P9F7
Q14204 P18615
Q3UHK8 Q01094
O75529 Q8WXD2
Q9BVG8 Q9H6L5
O15273 Q9Y5Q8
Q96F86 Q96KQ7
P22091 P51149
Q9UNQ0 Q1XH17
Q9ULK4 Q9BV36
Q9HAU4 P19490
O15047 P23381
P56159 P50990
Q8TEK3 O14640
Q9NV56 O43617
P17987 P50539
P25205 O43516
Q8N726 P52583
Q80U63 Q01196
P02766 P10809
Q6NXW6 Q9H6D7
Q6P2Q9 Q9Y376
P51531 P52815
Q8VBV4 P70335
Q8N3I7 Q92843
P56716 Q5JU69
Q92522 Q6IN36
Q12879 P17693
Q07812 Q96JM2
Q9BY43 Q15672
P26361 O00203
P08571 O00763
Q8N7H5 Q13472
Q8IUX4 Q9UNS1
Q02218 Q9H9E3
P13569 Q86Y82
Q9NYB9 Q8IXB1
O95639 Q9NWZ3
P21796 P63279
O94925 Q15843
P61328 Q15771
P00491 O14776
P23572 P28290
Q8NE86 P81122
Q9Y4A5 P42684
P43308 Q02363
P12830 O75880
Q9P0N5 Q96HI0
Q38SD2 Q99684
P29474 Q8WVC0
O75175 P21549
A2AGH6 O35696
O14735 Q99871
Q96QB1 Q86YP4
P04625 P02549
Q96HS1 P63172
P49257 Q12802
Q9H0R6 Q6PGF3
Q9NQG5 P51693
P21856 O75448
Q96E22 Q6UX06
Q9Y3E7 P26367
P23772 O89110
Q9UNN5 Q14152
P99999 Q86VE9
Q96CB9 O35973
Q9BV73 O43684
Q6PAL8 Q9Y297
Q9ULR0 P49768
P97820 P41164
P0C0S5 P49590
O96013 P27782
Q16795 Q96SW2
P22700 P02489
P43405 Q5VTR2
Q9C0J9 Q969F2
P30291 Q68CZ6
Q07478 O43739
Q13884 P55197
Q96KK5 Q9NQT8
Q5TZA2 Q15562
P55317 Q9NTG7
P07305 Q9NSD9
P10636 Q13362
Q9P1Z2 P38117
P40967 A2AUM9
P49817 P17948
Q03052 P04899
Q5XLA6 Q9UQR0
Q9Y2U5 O43716
Q9NRL2 Q9HBA0
Q9H334 P05166
O43707 P98161
Q9NXB0 Q8VIM5
Q9NUG6 Q8IXH7
Q9BY43 Q9C005
Q9DCH4 Q9UJW3
P05161 P26188
O00330 O14908
P42261 Q5VTR2
Q13637 Q9Y2L5
Q9NQS7 P58335
Q00566 Q5NBX1
Q9Y6B7 Q8TCN5
Q13596 O95503
Q15637 P07996
Q9BSJ6 Q7L2H7
P51668 Q8NBS9
Q9BT25 Q9H334
Q9BTT4 Q8TDW0
O75113 P70280
Q61686 P40238
Q9Y5U4 P15173
Q96B97 Q99728
P52566 Q9H0X9
Q00566 Q99942
Q9BSM1 Q93008
Q15642 O15014
Q96AQ6 O00461
Q9H0E9 Q9H3P7
P06400 Q9UBS4
Q61316 P15172
P33450 Q9Y6K1
P41778 Q9D5L7
Q9H8V3 P43308
O94927 Q96RK0
P21912 P51532
Q96RK0 P49458
P36888 P16234
P49847 P00491
Q03142 Q8TAF3
P52597 O95219
P15104 O55236
Q86VE9 P10243
Q06278 O15514
O75379 O43665
P63104 Q86TM6
P19388 Q80U63
O00170 P51608
Q9UBP6 P52789
Q8WXD5 Q64690
P52294 P05091
Q15036 P13393
Q6NYC1 P99999
Q9Y2X3 Q9Y566
Q6P1X5 O43633
Q9BTT4 Q9BPX5
Q9P021 O15047
P18428 P46100
Q12933 Q96E22
Q9UHV9 Q8N1B4
O00482 Q9NZN5
Q16254 Q99426
Q9NS28 O94913
Q16656 Q96HC4
P19387 P08413
Q9NY59 P54577
O95219 Q04724
O75689 P12694
P23198 Q13637
Q9NX18 Q9UPS6
Q2NKJ3 Q92542
O00330 P26651
O15269 Q96PU5
P97481 Q9H0E2
Q9P2R3 P36954
P40238 Q9UMS4
P07237 Q9UL03
O00330 O43617
Q66GS9 Q9NPI1
Q6UN15 O14727
Q8R3L8 Q9NQT8
O14734 Q9Y2Q5
Q96R06 Q02297
P35249 O14727
Q9Y296 Q8WTX7
P62799 O00170
Q8R3L8 P84085
Q8TD16 P21912
Q9UNQ0 P30990
P12277 Q9P2D1
Q8NEM0 Q8IXI2
O43173 Q07812
P98161 Q99880
Q15629 P42566
O14966 Q96B02
Q9H0E2 Q9BV86
O96013 P17693
Q9H0R6 Q9UKV0
P78352 Q9UBG7
P30086 Q99MI6
O14657 P02549
Q9P2W9 P62494
Q8NEZ4 Q9WUN2
Q13503 Q96QG7
P04156 P48003
Q9HCS7 P17677
P22674 O00411
P70280 Q96JM7
Q920Q2 Q7KZI7
Q9H5Q4 Q9P1Z2
Q7L7L0 Q8N4Q1
O00408 Q8WVL7
Q9BPX6 Q5VVJ2
Q9BTM9 P42704
P70388 O00303
Q9BXL7 P06454
Q8N3Y3 Q14188
P09936 Q12931
P13405 O75843
Q9BT67 Q3UHK8
P43558 Q99MI6
P49662 Q99496
Q64010 O00255
Q9H2P0 P53618
P28472 O00461
Q9H6W3 Q92934
P32519 Q9Y5X1
Q14CX7 O14734
Q5T4F4 P49281
O75475 O08852
Q8R5B6 O00411
Q9CSN1 P49802
Q08499 P28370
O75460 Q9Z0G0
Q9Y2X0 O15027
P40967 Q9H3P2
P21803 Q9NQB0
P11308 Q8T045
Q7Z3K3 Q9H6L5
P17693 Q8K4J6
P48553 P52179
Q9UJW3 P08413
Q04199 P06239
Q9Y297 P38117
O75197 P68104
Q12965 P15173
Q16594 P49023
O75943 Q8WUW1
P56945 O75376
Q6IQ20 Q9H5Q4
Q06587 P49458
P15923 Q60855
Q9NY59 Q6ZQ08
O15270 Q92608
P50851 O95786
Q8IWF2 P28223
Q9P289 O15446
O00743 Q9Y5U4
P63211 Q9UKV3
P13497 Q5VZM2
P48553 P50990
Q9NZ45 Q9ERP3
Q15428 P35998
O00631 O60216
O75581 O00410
P27348 Q9HBM1
P68400 P10636
P30260 Q12929
Q9NUB1 P38432
Q8T045 P50750
Q9Y2X0 Q13418
P25705 Q3U6Q4
Q06587 P87108
Q9Y2W6 P54198
P09622 O55005
Q924T7 P09661
P98078 Q7Z434
P19438 Q9BVG8
Q8IZU3 P61019
P12755 Q9BSL1
P24643 O94875
Q9H4G4 P16615
P42566 Q16790
Q9UHD2 P49869
O00303 Q8VBV4
Q9NVR2 P0CE12
Q9BPX6 P62494
Q08116 P49281
P52815 P15927
O00330 P30990
Q05195 P97260
Q8IYW5 Q96AJ9
Q8BK63 Q5JU69
P16298 Q99594
P70191 Q96I25
P21912 Q16181
P49711 P30429
O75147 P60468
O15372 Q04199
O75170 Q9UGN5
Q13547 O00203
Q8N1B4 P55273
Q15596 P63010
P60709 O14734
P18850 Q7Z7H8
Q6NXW6 P39429
O14879 Q9UHV7
Q15013 Q95460
O95219 P61956
Q86TM6 P49847
Q9Y2B0 Q7Z2W4
Q9HCS7 Q15256
Q9QXG4 Q13362
Q9UHK0 O70511
Q13177 P35354
Q7L7X3 Q6ZN18
P30519 Q9HBL0
P40855 Q9UBD5
P09132 P04488
Q4JIM5 P35398
Q92913 Q96RD7
P62743 P15407
Q15059 Q12756
Q9HB96 Q9H4G4
P78352 P78364
O43312 P30291
O94906 Q9Y2B0
Q86VE9 Q5DW34
Q99NB1 P55210
Q5T1C6 P29084
Q9H6S1 O00257
O60942 P34080
Q9BZD4 O75385
Q66GS9 P63146
O14595 Q9NXG0
O43924 O94913
Q03135 P28472
O15144 Q9NUV7
Q5VWQ8 O96019
P61007 P30101
O95292 Q60809
Q9P0U4 P34080
P32558 O60353
Q7Z419 Q15011
P60468 P39016
Q14999 O15455
Q6ZVD8 Q92843
Q9NWZ3 Q96CB9
P25440 Q14671
P09958 P70302
Q9WU42 P62494
O60885 P15374
Q8WXE1 O94925
Q6PAL8 P36969
Q8WXE1 Q63932
Q9BYB0 Q9UJW3
Q7Z417 Q16795
Q9BT25 O75448
Q03160 Q9UBU7
Q14152 Q9Y5N6
Q14186 Q6UXV4
Q9NS28 P03966
Q9Y496 O43752
P18615 P28676
P34021 Q9UQC2
Q92896 P17677
O14617 Q9NQB0
Q8IVT5 P09012
Q15120 Q5SPW0
O88850 P24158
Q99814 Q9P021
P49711 Q9Y613
Q9HAU5 Q99PV5
P24522 Q9ESN6
Q8NFJ9 Q60972
Q9NTG7 O15269
P81274 P52597
O55043 Q71SY5
Q8VBV4 Q7TNC6
P87108 P21279
O15503 Q9NTG7
P67812 O43924
Q9BYN0 Q13438
Q80UV9 Q4JIM5
P51795 Q07955
Q01196 Q9GZQ8
Q12983 P32527
Q8WVM7 P26039
Q96JM2 Q15036
Q8TCY5 Q8R1H0
O70343 P38862
P40938 Q96RU3
Q9BT67 Q13651
Q9NR28 P08865
Q9Y2Z4 P02533
P10515 Q9H9A5
P30665 Q15019
O00203 Q96NB3
O75880 P41279
Q13671 Q6KC79
Q9UJU2 O43739
Q9H0F6 O14657
P63217 O95292
Q9ERP3 Q9UIF7
A6NHX0 P51531
Q99880 P97879
P30086 Q68CP9
P14625 P48552
P53762 O88485
Q9UHH9 P21549
Q920B9 Q9H0X9
P31322 O15446
Q9Y4C1 Q99942
Q12789 Q96B97
Q03518 P17095
P10242 Q86UP2
Q9UKT7 Q9H082
Q92843 Q96K76
O15131 P61964
P42262 Q5VSY0
Q9NUS5 Q4JR05
P09661 Q96F86
Q08752 P04156
P07237 P58753
P04843 Q9NQT4
Q13323 P50748
P08571 P97784
Q6NZ36 P37108
P13693 P25490
P57764 Q13426
O14734 Q8TDW0
Q9Y2L5 Q07832
Q8N6T7 P51149
Q9UHV7 P97573
Q9BSI4 Q8NI22
O88513 P30533
P09958 P00491
Q9P209 P06400
Q8VEB1 Q9H082
Q9Y2Q3 O75113
Q9UBQ0 Q9WU42
P30622 Q6UWZ7
P56159 P68404
P52948 P16615
P49817 Q86VP6
O43463 O15372
P46099 Q15629
Q12888 O94972
Q99743 Q61180
Q08462 P15884
P56159 Q13428
O94986 P07237
P28223 Q6IQ20
P09651 Q15005
Q9Y5M8 P15311
P41134 O15455
Q5XLA6 Q9D0A0
Q6PD62 Q8C1B1
P52948 Q9NY65
P63146 Q9H4B7
Q61656 Q9Y239
P30876 P54287
Q9H0R6 Q9BY43
Q00403 O76003
O15243 O43572
Q9HCE7 Q01826
Q07813 Q6W2J9
Q15369 Q9BPX6
Q9M548 Q14789
Q9Y5R6 Q9BZE1
Q9NRR4 Q13557
Q13426 P21856
Q9UK61 Q15080
Q9NR28 P19387
P53762 Q9Y6H5
P22674 Q12824
Q1XH17 Q96DX5
O94776 Q13472
P54646 P04156
P19490 Q8VDS3
P28290 Q8N3U4
P69682 Q7Z392
P31040 P20338
Q14160 O15047
Q9H0W5 Q9H0D6
P05423 P15924
O43143 Q8WXI2
Q8IXK0 Q9NZD2
P61088 Q9NVI7
O60337 Q9Y6D5
Q8NE86 Q9UKK6
Q9Y618 Q8NEM0
Q9BQS8 Q13185
P23258 Q99PV5
Q9NVH0 Q9NVR5
Q9UID3 Q9H165
O43684 P12081
P01912 P84233
O95822 P14859
Q99LI8 Q80U70
Q60793 P98082
P10276 P08571
Q811U4 Q13155
P11831 P01903
O14974 P51531
Q86VE9 O75367
Q9NUB1 P27448
O00631 Q00653
Q99684 P17693
P15873 P32527
P12003 Q71SY5
P10809 O60356
O54943 Q9Y2L5
Q13188 Q96HS1
P60880 P23772
O75880 Q01705
Q16594 Q13322
Q61091 Q9Y4R8
Q9HAU5 Q13404
P02281 P00488
O14964 O70343
A2AGH6 Q15691
Q16740 Q9Z0S6
Q9HCE5 P38862
P36888 Q9BVW5
Q13042 Q92925
Q9UKF6 P46108
P05455 Q13322
P51825 O15027
Q86YC2 P11586
O15355 Q9Y383
P28845 Q9ERG0
O75880 P41229
Q28147 P21912
P52292 Q7L1W4
Q15629 Q86WJ1
O14727 P33991
Q9ERG0 Q86YC2
Q07864 Q9BSQ5
Q9BSI4 Q86YL7
Q9UNP9 Q9H6L5
Q16795 O75197
Q9NZI2 Q16514
Q61656 Q15691
Q86V48 O14908
O43739 Q9H9Y6
Q15648 P21333
P05091 P49817
Q70CQ3 Q9H082
P84228 Q96C10
O60238 Q8R5B6
Q96G30 O43716
Q9BZE1 Q91YE6
O14908 P04925
P04925 Q12965
O15160 P05165
Q5TZA2 Q9H944
Q86XK2 P49023
Q01968 Q9P2I0
Q8TCU6 O75586
Q13950 P39429
Q9NRI5 Q13416
Q9Y2V7 Q99504
P35250 Q61180
Q9GZM8 Q7L7L0
P51531 P62834
Q6P1J9 O89110
P17947 P54577
P47825 O75874
Q7KZF4 Q811U4
P19332 P17542
Q8CII8 Q95460
Q15843 Q9UPX8
Q8NBS9 P20226
Q5EE38 Q96RK4
Q16778 P21856
P60880 P46100
Q9WU84 P46013
P82664 O00327
Q2I0M4 O94953
Q9UL18 P59759
Q86Y82 Q8WX92
Q14209 Q8TCY5
P21673 Q08945
Q8IWF2 Q9ULW0
Q96E14 O00429
P35998 O00461
Q9NVR5 Q9UBS4
Q9UID3 Q9UPT5
P49458 Q9BTT4
Q9BTT4 Q9NV70
Q8IXJ6 Q5JU69
P24941 Q8NBS9
O14497 Q8VDU0
Q15643 O54864
Q8IZD4 P18085
Q9Y6H5 Q9Y5R8
P27348 P32505
Q13084 Q9H444
P68431 P70302
P04925 Q9Z148
P29375 P98082
Q7L2H7 P07823
P47712 P22830
Q03468 Q8IWA4
Q6TCH7 Q9H0J4
Q60855 Q15369
Q91YI1 Q6IQ20
P63146 P22674
Q9H0F7 Q29RF7
P84092 Q5VVJ2
Q9Z0G0 Q15572
O88838 P07305
Q8NHV4 Q9CW03
Q60793 P12081
Q5BJU7 Q15572
Q70CQ3 O15397
P10242 P24643
Q9H5Q4 Q9ULQ0
Q96CB9 Q96J02
P61160 P48735
P42568 P28223
Q9BSL1 Q9Z277
Q9BUR4 P17677
P35269 Q05823
P32233 O60499
O15270 Q99801
Q9UPN7 P16778
Q9BVJ6 O00522
P27824 Q9UHD9
P83916 P29474
P04156 O60356
O15243 O15020
Q8NFH5 P01903
Q12874 Q15382
Q9Z0Z7 O75695
P36888 O43913
Q9Z277 P12081
Q96CS3 Q9U299
P05198 Q9NUV7
Q9NRI5 P51946
O14662 Q13185
Q7Z3S9 Q96QV6
Q9UPT5 P67812
P52630 Q7Z392
O94927 Q99807
P13796 P01108
P51825 P41832
P20700 O95396
P08651 Q8IWV7
Q13765 P22830
Q12931 Q9NRA1
Q8WXF7 Q60838
Q9BRJ2 O75581
Q8WXE1 P17987
Q9NTG7 Q9UJ41
Q9UIG0 Q96QK1
P35609 P51825
Q8WXF7 P46934
O43716 P38890
P11137 Q06547
Q9H944 P02687
Q99832 Q5JTV8
Q9UID3 Q04323
P22681 O94888
P54830 O43683
O43164 Q5EE38
Q16254 Q7L1W4
O70511 O00716
Q9Z0Y9 Q8NI22
Q9Y2L5 Q8IWY9
Q9H4G4 Q9UPN9
P43308 P53779
Q5NBX1 P51531
P12931 Q86TM6
Q04323 Q9ULR0
P20338 Q14191
Q9Y618 O88838
P56945 P49917
P27540 Q96QB1
Q5BJU7 Q9UNQ0
P19490 P07900
P61224 Q15916
Q9UBQ0 Q9HCS7
Q9UM47 P62494
P09913 O43819
O75821 Q99MI6
Q9DCH4 Q5FWF5
Q14318 Q13416
Q9H1H9 Q91X58
P49615 P07996
P38159 O14672
P30048 Q9QX47
O15315 P51149
P13796 Q9CQJ2
P84077 Q07864
P34021 P14324
Q92542 Q9D0A0
Q8IXI2 Q9P2W9
O00311 P50570
Q99683 P51608
P30533 P28908
P41235 O60603
Q96EY1 Q9UBG7
Q9UBU7 Q9NZN5
Q86SZ2 P46677
P70335 Q01094
Q15643 P49790
Q7LBR1 P0C0S8
P00387 O14595
Q96CB9 Q64096
Q08AE8 Q01196
Q9Y385 P63037
Q8NE86 P28347
O60880 Q6ZYL4
Q96CB9 Q06455
Q8NEZ4 Q9UQN3
O75146 P07269
Q9NUJ1 Q8IVH2
Q9ULV4 Q93074
O00461 O95863
P54725 P08752
Q15907 Q969G2
P12504 P20340
P16778 Q8N122
P17156 O75478
P21549 O15392
P22087 P15104
Q12955 P49590
Q3U4G3 Q03052
O43929 Q61411
P52815 Q92731
Q811U4 P49847
Q9P1Q0 P20248
Q12965 Q8T045
Q96EK4 P25118
P11310 P02281
Q8C0J2 Q14781
O88838 P13674
P00533 P49802
Q9NVI7 Q96P20
Q9EP80 Q9P2I0
P42224 Q9Y2V7
Q01094 P06239
Q9H0R1 Q9BUJ2
Q9HB96 O94817
Q8N138 P15153
Q61598 Q8IWI9
P15529 Q7Z392
O00461 Q8NC51
Q96R06 Q6P2C8
P60010 P23572
P61244 P40087
Q96KK5 P30671
Q9NZD4 Q14188
Q9J3M8 P41229
P0C0S5 Q96E22
Q14451 Q60793
Q6KCD5 O94927
Q96KQ7 O43557
P17987 P45973
P05198 Q9UKL0
Q86SZ2 Q7Z6M4
P23246 Q8N1B4
Q91YI1 O75127
Q8NHV4 P42704
P09012 O15020
Q91ZK0 Q29983
Q71LX4 P52272
Q07864 Q9UNQ0
Q07954 Q9UJY4
Q60520 P05198
P50991 Q09028
Q7Z6M4 P68404
Q5VIR6 P32121
P30519 P00966
P18583 P30086
Q969G2 Q9BXC9
Q92905 Q86UT6
Q96RK4 Q9Y580
Q8VDS3 Q8N3I7
O14810 P30291
Q9BXL7 P15172
Q8IWZ3 Q9NTG7
O70405 P21549
O95999 P43268
O76003 O00712
Q8N365 Q9UBQ0
Q13156 Q99871
P18206 P17096
Q9UKV5 Q9Y5Q8
P17096 P47712
Q9H944 P17156
Q9NZN5 Q6P2Q9
Q9Y3I0 A0FGR8
O60264 Q96PU5
O70903 O75943
Q13190 P35609
Q10589 Q9Y2X3
Q15382 Q9BWW4
P18206 P17947
P49590 Q99558
P22607 P17095
Q61411 O75030
Q9QXS1 O15446
P04908 P30990
P52701 P11532
Q3UHK8 Q00566
O14497 O43896
P19387 Q9UBF8
Q96AY2 Q96F86
Q8NFW9 P49959
Q7Z392 Q04724
Q9H4G4 P24385
Q96AE4 Q9Y6D5
Q03519 Q9Y618
P63166 Q13438
O43318 P22227
Q99683 Q9C0K0
Q9Z0S6 P84085
O75529 O89293
P25054 O75376
Q9UPW6 P11277
P98161 Q8K4J6
P30281 O95461
Q03519 P46933
P24643 Q6ZQ88
P63146 Q9ERP3
O60934 P79114
Q5JTV8 A2AUM9
P34932 Q92522
Q7Z434 O15315
P13405 Q13586
P46939 Q7Z6M4
Q13503 Q99707
Q96HS1 Q13185
Q16740 Q9CZD3
P26678 P26368
P52597 Q8WUW1
Q9H0R6 Q15672
Q86XK2 Q8WXF7
Q16181 Q6P9F7
P97573 Q02218
P29466 Q99MI6
Q96NW4 O43474
Q9NXB0 Q9BUQ8
A0FGR8 P98170
Q68CZ6 Q9UPW6
Q91X58 P07992
Q96R06 P19659
O75379 Q92905
P01130 Q91WC1
Q9H1H9 P13984
P79114 O15409
P52732 Q9UBD5
Q16526 Q9Y6N7
Q16531 P07823
Q9NZ52 Q08211
O95931 P23381
P04908 Q13137
Q9UQ80 P21953
Q9JJY3 Q8R5C8
Q9UKF6 Q8NHV4
Q6ZSG1 Q924T7
Q03173 P16778
P49817 P21279
Q9NUB1 Q8ML92
P42568 Q15629
Q15059 Q9NVX0
Q00566 Q99961
Q9NY59 P54278
Q921C5 P33450
Q8ML92 Q8VI67
P29466 Q9NTG7
Q92558 Q9Y5N6
P11586 P49750
P61019 P55055
O43294 O43617
Q8N365 Q14CX7
Q8WVC0 P05109
Q9NZN5 Q8IZU3
P42704 Q8N3I7
P55210 Q8IWF2
P15311 Q9HC52
Q5W0Q7 P09936
Q9WYW0 Q86SZ2
Q9H3D4 P35998
Q8N138 P54132
Q96E22 P35916
Q9NRI5 Q92925
Q9H0R6 Q9JI10
P17210 Q61656
P49257 Q16576
Q9BZQ4 Q9M548
Q9BXM7 Q96ST3
P42771 Q96DX5
P07237 P31938
O15117 P10515
Q9BXN2 Q9H082
Q86WV5 Q9NQX3
P49281 Q9H8V3
Q9JM54 Q9UHB9
Q9H0U4 Q8WVT3
Q9NUJ1 O95396
Q6TCH7 P52815
O60832 Q6TCH7
Q9P0N5 Q15906
Q60520 Q9NQC3
P07823 Q9Y5K5
P14142 P01106
P26441 Q60644
O14617 O00411
P54132 O43156
P04273 Q9Y265
Q9BPX6 P14618
Q9GZU7 Q8TCU6
O00291 Q86UP2
P61106 Q9Y2X3
P17844 Q9H492
Q15080 Q6FI13
P11177 Q05639
Q8IUX4 Q9Y385
P49591 Q6UX06
O95166 P04908
O14662 P21675
P49750 Q86Y82
Q92522 Q6PAL8
Q9BZQ4 Q9BTC8
Q9UQC2 Q9UKV0
P63101 Q04726
O95140 Q9H3P2
Q16790 Q08AE8
P12504 P30876
Q9NUB1 Q9Y468
O76003 P51946
P31040 Q9Y2V7
Q9BVA6 Q9Z0Y9
P09086 O00631
Q7Z417 O95292
Q91X58 Q96B97
Q15428 Q9NVA2
Q9P0J0 O14662
O75436 Q96RD7
P98083 P27782
Q8N3Y1 P15873
Q16778 Q9UPY6
Q9Y2V7 Q9BUR4
O43557 Q14209
Q9WU42 Q96RD7
Q6TCH7 Q07813
P01903 P46777
P18031 Q12983
P17844 Q9Y385
Q9NVC6 P04925
Q676U5 Q99PV5
Q60793 O95835
Q8IVT5 P51608
Q05823 Q9HCS7
Q9Y618 Q969U6
Q9NVR2 P46821
Q99594 P48735
O96028 Q96E22
O00522 P19387
P15884 Q9P209
A2AGH6 O94927
Q03519 P25454
Q9Y2B0 P63086
Q9NUS5 Q9H5Q4
O75716 Q9P2I0
Q08050 Q96RD7
Q96DX5 P62917
P48735 P22227
O60337 Q9UBU7
Q8IZU3 Q14999
P67809 Q9J3M8
Q96G30 P43034
Q9UQB8 Q9NYV4
P25118 O95630
Q96QB1 P04156
Q8TEW0 Q99814
Q9UMN6 Q8N1B4
A0JLT2 Q969U6
P43308 Q9BVJ6
Q9H944 P35236
P04273 O43819
Q9Y5X1 P33778
Q5SPW0 Q9Y6N9
Q86XR7 P01106
Q8T045 Q9JHD2
P69723 Q9UPW6
O75486 Q01968
Q8QZZ8 P22415
Q07478 Q16611
P15336 Q8T045
P10721 Q8WXF7
Q12931 Q9Y2B0
Q9UKV3 Q9WU78
Q80U70 P26038
Q2KHM9 P07996
Q9BXN2 Q9P0L0
Q9Y5B9 Q14964
O75146 P46199
Q3U4G3 O75486
Q92934 Q14966
P37108 Q9NZ45
P16778 Q9UNS2
O00257 Q3UHD6
P46934 Q8NE86
Q9JJY3 Q92560
O75791 P04156
P26441 O55005
Q9UM07 O75127
Q8WXI2 Q15788
P41229 P28908
Q96B01 Q15139
O94817 Q8NCD3
A4D1B5 P05067
P21953 P49137
O60907 Q9NXB0
Q9BV73 P25977
P25325 Q9UNP9
Q15599 P11532
Q03160 P41778
O35867 Q6UN15
Q13084 Q9Y385
P60763 O14776
Q9BSB4 Q15629
Q9UBG7 O15243
P49959 P04229
O14745 P99999
Q4JIM5 P23572
Q96MW7 Q9UBV2
Q9Y5U4 Q71F23
Q5FWF5 O43557
P49662 O43719
P22607 P13984
Q06481 Q9NX18
O75874 Q9UKV0
Q3U6Q4 P41212
Q9Y3E7 Q12824
Q9NQX3 Q15393
P10828 Q5EBH1
Q61644 P18847
Q16790 Q5SPW0
P97784 O00631
P05166 P28370
P61586 Q9Y2L5
P49791 P98161
Q6NSJ5 Q01484
P51449 O00408
P10589 Q96FW1
Q9HC77 Q15118
Q91WC1 O95810
Q9BZI7 P30519
P46099 P49418
Q9BT67 P38919
P51693 Q7Z589
Q99961 Q9NVH0
P19838 Q86UT6
P54725 Q12756
O96013 P18583
Q03135 Q8IUF8
P06493 Q92896
P55197 P30086
P35354 Q8IWZ3
Q9H7X0 P52701
O75143 P81877
Q9BTM9 Q9HC52
Q9Y3B4 P22700
Q99549 Q86WV6
Q9BSL1 Q9UPW6
Q9H0R8 Q15910
Q9NUB1 O75379
P16778 P19525
Q99942 Q08639
Q6ZW49 P01111
P87108 P48431
O15020 Q16778
P07237 P60953
F4HZB2 Q96T58
Q9UPN4 Q9UN42
Q9H0E9 Q14790
P04229 Q7Z4S6
Q5VSY0 Q9NRY4
P35869 O43505
Q9UQE7 Q9UQB8
Q9H4G4 Q14566
O60907 P62494
P12694 P60484
Q9P2W9 P61956
P43351 Q86WV6
Q07021 P01130
P22303 P78371
P26678 Q9Y3E7
Q9Z0S6 Q6UX06
P59759 P26039
P62805 Q9Y6W5
Q9NY65 P41164
P08621 Q96CF2
Q9HC52 Q9NQT8
Q15642 P48003
P51795 P50539
Q9JJY3 Q01081
P13688 P15173
Q9J3M8 Q99755
P23204 P04899
P04925 Q9NQT4
Q92896 P35249
Q8IXI2 P28472
P26358 O75379
P46934 Q9Y5R8
Q969G9 O75376
O14734 O00763
Q06587 Q9NUS5
Q8WXD9 Q9P2D1
O75475 Q08AE8
Q6UXV4 Q96QF0
Q08509 Q6ZWS8
O95461 Q9P0L0
Q9Y496 Q9H845
Q60641 P99999
P19878 P23769
Q9Y2V7 P15927
Q9Y6N7 O75791
Q13216 Q5SPW0
Q9Y2L5 Q15370
Q5SW79 Q9NVC6
Q9UJU2 Q61644
P02281 P10809
P15529 P26358
Q9UBK8 O43159
Q8WVC0 O75379
Q9BR76 Q6PL18
Q9NR28 P31751
O43173 Q13137
O00203 P13393
Q7Z6J0 Q8VCD5
P97260 P19532
Q10570 Q9Y4D1
P78559 O55236
P35609 P09874
Q14643 P12235
P63000 P50539
Q9ULK4 Q9BVA6
Q09028 P63102
P49917 P06702
P24385 P50851
Q9Y2Z0 Q13323
Q86SZ2 Q7L5N1
Q91ZK0 P49802
P49769 P61956
Q9NTG7 Q5FWF5
P49841 Q14789
O94913 Q53EZ4
Q16623 P30665
Q64690 Q15814
Q27272 Q64690
Q13509 P84233
P60763 Q9D0A0
Q8TDW0 Q8VI67
Q96AJ9 Q99594
Q8WTX7 P50402
Q01705 P09769
P78371 O75925
Q6IQ20 O00221
Q9BUH6 Q9BT67
P17535 O00522
Q9BXW4 P70351
Q9BYG3 P07814
Q582G4 Q8IYD8
Q9JJY3 Q921E6
Q9BZF1 P52179
Q9ULQ0 P26358
Q8N726 Q8TEY7
P24863 P30101
A0FGR9 P04488
Q8R3L8 Q14247
P42574 Q12874
Q14141 P05166
P06239 Q9H9Y6
P82664 Q10741
Q9WU84 Q8NBT2
Q9J3M8 Q9Y6P5
Q96CG3 P16234
P05165 O95810
Q01201 P01009
Q9BRJ2 Q9BWF3
P25705 Q9HCE7
P04626 Q92896
Q6KCD5 P29466
O00267 Q49A88
Q96IZ0 Q99MI6
Q8N1B4 Q9UM07
Q9Y2Y0 P56159
